file_ID	file_name	data_category	data_type	proyect_ID	case_ID	sample_ID	sample_type	md5	size	state
c2a2198e-46e3-46ac-84d7-152eb2803643	06b1bbf5-07e5-4a03-aea1-f7203bab2572.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-55-A4DG	TCGA-55-A4DG-01A	Primary Tumor	85ae69183e263164887631ab369574cd	255679	validated
fae04d12-be1b-4604-9d65-ed82521da937	6095fc44-4542-4435-8e6b-dba09b3f7f92.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-97-7552	TCGA-97-7552-01A	Primary Tumor	b2b28284efd728674b1bab33eddf50a4	254662	validated
46005efb-d3ab-4724-b997-8a0f51a17163	33ccace3-8a24-44e8-a101-15bd1e8467fe.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-78-7162	TCGA-78-7162-01A	Primary Tumor	fad86994dae500ab80d4f629cec5dc47	252835	validated
94b166f1-20a3-4903-a18a-47497346635c	8377de42-868b-4748-bbe0-b66827e274bf.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-49-AAR0	TCGA-49-AAR0-01A	Primary Tumor	52e2edca892982cd533d3cd9c5322dab	256015	validated
bf875f56-0d7b-4e5d-8f34-c67cb9428cfb	173d8cb8-d151-4766-b61c-7ecdf8af56ca.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-05-4430	TCGA-05-4430-01A	Primary Tumor	17f4901688ac9e053d84146926c52bc0	256023	validated
6b26c1e5-14f3-4a99-9f09-2f398cc2a7a5	7d77efb6-ce73-4e81-8cf3-957835f58334.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-55-A493	TCGA-55-A493-01A	Primary Tumor	91b42161b1e10c2e422b90a1cce2435f	254365	validated
2c76067c-f690-4d7c-b5fd-69b9facb0d21	9c21f775-3dff-43de-9a05-b25480cbe815.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-49-6744	TCGA-49-6744-01A	Primary Tumor	2a39d882bb761f14c0acd88f6d525414	253173	validated
7d681677-05d5-472b-a969-5c6840e86ca3	4fb80022-8f80-4992-b1aa-0f678c941878.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-78-7143	TCGA-78-7143-01A	Primary Tumor	e27c28c805ab360d313ab8f3c10791b6	256402	validated
7a876e30-819d-48ef-88d3-71d7d193227c	98fcd5aa-3b1a-4980-a65f-c44a8c070101.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-99-AA5R	TCGA-99-AA5R-01A	Primary Tumor	928b64d248d4e066fd624f3ac7af81af	254913	validated
0fb60734-2ff0-4974-9c8b-7313c06ceef9	29326e2f-eab7-445d-93e7-9290731745e7.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-LUAD	TCGA-55-8505	TCGA-55-8505-01A	Primary Tumor	5bc8f80bd333c9cb930f6ec0c8733a04	250860	validated
